"","Item","CREDI_code","CREDI_code_Apr17","RevCoded","tau","MOT","COG","LANG","SEM","alpha","delta","ShortForm"
"72","QC29","LF83","CREDI_LC32",FALSE,3.329,0,0,2.226,0,1.766,1.91279728199321,TRUE
"73","QM33","LF86","CREDI_LM34",FALSE,1.292,0.822,0.35,0,0,0.754,1.42705570291777,FALSE
"74","QC31","LF88","CREDI_LC34",FALSE,3.146,0,0,1.935,0,1.456,2.02129120879121,TRUE
"75","QC35","LF92","CREDI_LC37",FALSE,2.452,0,0,1.19,0,0.969,2.53147574819401,TRUE
"76","QM36","LF93","CREDI_LM35",FALSE,2.274,1.114,0,0,0,0.754,2.45490716180371,FALSE
"77","QM38","LF98","CREDI_LM36",FALSE,3.814,1.451,0,0,0,1.069,3.088868101029,TRUE
"78","QM39","LF105","CREDI_LM37",FALSE,4.26,1.349,0,0,0,0.895,3.76312849162011,FALSE
"79","QS09","LFMH1","CREDI_LMH01",TRUE,-0.109,0,0,0,0,NA,NA,FALSE
"80","QS23","LFMH2","CREDI_LMH02",TRUE,-0.181,0,0,0,0,NA,NA,FALSE
"81","QS16","LFMH3","CREDI_LMH03",TRUE,0.045,0,0,0,0,NA,NA,FALSE
"82","QS11","LFMH4","CREDI_LMH04",TRUE,0,0,0,0,0,NA,NA,FALSE
"83","QS18","LFMH7","CREDI_LMH07",TRUE,0.88,0,0,0,0,NA,NA,FALSE
"84","QC37","LF81",NA,FALSE,1.446,0,0.287,1.055,0,1.039,1.31857555341675,TRUE
"85","QC50","LF95",NA,FALSE,4.419,0,0,1.83,0,1.703,2.91309453904874,FALSE
"86","QS43","LF56",NA,FALSE,-1.01,0,0,0,0.675,0.474,-1.54852320675105,FALSE
"87","QC36","LF84",NA,FALSE,1.54,0,1.325,0.457,0,0.945,1.51746031746032,FALSE
"88","QS46","LF85",NA,FALSE,0.433,0,0,0,0.643,0.455,1.42857142857143,FALSE
"89","QS45","LF59",NA,FALSE,-1.071,0,0,0,0.878,0.742,-0.734501347708895,TRUE
"90","QC42","LF87",NA,FALSE,3.438,0,0.599,1.506,0,1.504,2.02127659574468,TRUE
"91","QS50","LF101",NA,FALSE,3.423,0,0,0,1.778,1.02,3.17549019607843,FALSE
"92","QC46","LF89",NA,FALSE,2.244,0,0,1.297,0,1.042,2.0978886756238,FALSE
"93","QC41","LF90",NA,FALSE,3.113,0,0.659,1.019,0,1.144,2.27622377622378,TRUE
"94","QS58","LF91",NA,FALSE,2.594,0,0,0.858,0.823,2.15,2.74976744186047,TRUE
"95","QC40","LF65",NA,FALSE,-0.068,0,1.198,0,0,0.772,-0.268134715025907,TRUE
"96","QS44","LF66",NA,FALSE,-0.647,0,0,0,0.996,0.746,-0.183646112600536,TRUE
"97","QC44","LF94",NA,FALSE,2.982,0,0.572,0.945,0,1.127,2.67879325643301,TRUE
"98","QC47","LF108",NA,FALSE,4.443,0,0,1.118,0,0.868,4.88364055299539,FALSE
"99","QC43","LF100",NA,FALSE,3.745,0,0.46,1.166,0,1.331,3.04432757325319,TRUE
"100","QC39","LF97",NA,FALSE,3.454,0,0,1.462,0,1.145,2.92751091703057,TRUE
"101","QC38","LF71",NA,FALSE,1.13,0,0,1.751,0,1.332,0.883633633633634,FALSE
"102","QS30","LF63",NA,FALSE,-0.673,0,0,0,1.297,0.789,-0.29531051964512,TRUE
"103","QS51","LF104",NA,FALSE,5.686,0,0,1.117,0.977,2.117,3.65092111478507,TRUE
"104","QS29","LFMH6",NA,FALSE,0.618,0,0,0,0,NA,NA,FALSE
"105","QS53","LF102",NA,TRUE,2.186,0,0,0,0.863,0.912,3.74780701754386,TRUE
"106","QC45","LF107",NA,FALSE,5.417,0,0.317,1.443,0,1.364,3.7558651026393,TRUE
"107","QS55","LFMH8",NA,TRUE,3.323,0,0,0,0,0.974,3.41170431211499,TRUE
"108","QS41","LF78",NA,FALSE,0.699,0,0,0.774,0.341,0.853,0.906213364595545,TRUE
"109","QS38","LF79",NA,FALSE,0.199,0,0.871,0,0,0.454,0.394273127753304,FALSE
"110","QC49","LF96",NA,FALSE,4.842,0,0,1.966,0,2.627,3.06509326227636,TRUE
"111","QS35","LF80",NA,FALSE,-0.046,0,0,0,0.638,0.444,0.34009009009009,FALSE
"112","QS33","LFMH5",NA,TRUE,0.593,0,0,0,0,NA,NA,FALSE
"113","QS36","LF70",NA,FALSE,-0.06,0,0.523,0,0.167,0.446,-0.358744394618834,FALSE
"114","QS57","LFMH9",NA,TRUE,3.993,0,0,0,0,1.106,3.61030741410488,TRUE
"115","QC51","LF99",NA,FALSE,4.253,0,0,1.617,0,2.164,3.27310536044362,TRUE
"116","QC48","LF106",NA,FALSE,7.206,0,0,2.092,0,1.886,3.96341463414634,FALSE
"117","QS52","LF103",NA,FALSE,3.602,0,0,0,1.505,0.932,3.79721030042918,FALSE
